Title,,,,
ARSON,,,,
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,ASSAULT,,"'ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER': 'ASSAULT',",
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",ASSAULT,,"'ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT': 'ASSAULT',",
ATTEMPTED ROBBERY,ROBBERY,,"'ATTEMPTED ROBBERY': 'ROBBERY',",
BATTERY - SIMPLE ASSAULT,ASSAULT,,"'BATTERY - SIMPLE ASSAULT': 'ASSAULT',",
BATTERY ON A FIREFIGHTER,ASSAULT,,"'BATTERY ON A FIREFIGHTER': 'ASSAULT',",
BATTERY POLICE (SIMPLE),ASSAULT,,"'BATTERY POLICE (SIMPLE)': 'ASSAULT',",
BATTERY WITH SEXUAL CONTACT,ASSAULT,,"'BATTERY WITH SEXUAL CONTACT': 'ASSAULT',",
BIKE - STOLEN,THEFT,,"'BIKE - STOLEN': 'THEFT',",
BOMB SCARE,,,,
BRANDISH WEAPON,DISCHARGE FIREARMS,,"'BRANDISH WEAPON': 'DISCHARGE FIREARMS',",
"BUNCO, ATTEMPT",,,,
"BUNCO, GRAND THEFT",THEFT,,"'BUNCO, GRAND THEFT': 'THEFT',",
"BUNCO, PETTY THEFT",THEFT,,"'BUNCO, PETTY THEFT': 'THEFT',",
BURGLARY,ROBBERY,,"'BURGLARY': 'ROBBERY',",
BURGLARY FROM VEHICLE,ROBBERY,,"'BURGLARY FROM VEHICLE': 'ROBBERY',",
"BURGLARY FROM VEHICLE, ATTEMPTED",ROBBERY,,"'BURGLARY FROM VEHICLE, ATTEMPTED': 'ROBBERY',",
"BURGLARY, ATTEMPTED",ROBBERY,,"'BURGLARY, ATTEMPTED': 'ROBBERY',",
CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,ASSAULT,,"'CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT': 'ASSAULT',",
CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,ASSAULT,,"'CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT': 'ASSAULT',",
CHILD ANNOYING (17YRS & UNDER),CHILD RELATED,,"'CHILD ANNOYING (17YRS & UNDER)': 'CHILD RELATED',",
CHILD NEGLECT (SEE 300 W.I.C.),CHILD RELATED,,"'CHILD NEGLECT (SEE 300 W.I.C.)': 'CHILD RELATED',",
CHILD PORNOGRAPHY,CHILD RELATED,,"'CHILD PORNOGRAPHY': 'CHILD RELATED',",
CHILD STEALING,KIDNAPPING,,"'CHILD STEALING': 'KIDNAPPING',",
CONTEMPT OF COURT,,,,
COUNTERFEIT,,,,
"CREDIT CARDS, FRAUD USE ($950 & UNDER",FRAUD,,"'CREDIT CARDS, FRAUD USE ($950 & UNDER': 'FRAUD',",
CRIMINAL HOMICIDE,,,,
CRIMINAL THREATS - NO WEAPON DISPLAYED,THREAT,,"'CRIMINAL THREATS - NO WEAPON DISPLAYED': 'THREAT',",
CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),CHILD RELATED,,"'CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)': 'CHILD RELATED',",
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",THEFT,,"'DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER': 'THEFT',",
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01",THEFT,,"'DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01': 'THEFT',",
DISCHARGE FIREARMS/SHOTS FIRED,DISCHARGE FIREARMS,,"'DISCHARGE FIREARMS/SHOTS FIRED': 'DISCHARGE FIREARMS',",
DISHONEST EMPLOYEE - GRAND THEFT,THEFT,,"'DISHONEST EMPLOYEE - GRAND THEFT': 'THEFT',",
DISTURBING THE PEACE,,,,
DOCUMENT FORGERY / STOLEN FELONY,THEFT,,"'DOCUMENT FORGERY / STOLEN FELONY': 'THEFT',",
DOCUMENT WORTHLESS ($200 & UNDER),OTHER MISCELLANEOUS CRIME,,"'DOCUMENT WORTHLESS ($200 & UNDER)': 'OTHER MISCELLANEOUS CRIME',",
DOCUMENT WORTHLESS ($200.01 & OVER),OTHER MISCELLANEOUS CRIME,,"'DOCUMENT WORTHLESS ($200.01 & OVER)': 'OTHER MISCELLANEOUS CRIME',",
DRIVING WITHOUT OWNER CONSENT (DWOC),OTHER MISCELLANEOUS CRIME,,"'DRIVING WITHOUT OWNER CONSENT (DWOC)': 'OTHER MISCELLANEOUS CRIME',",
"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",THEFT,,"'EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)': 'THEFT',",
"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",THEFT,,"'EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)': 'THEFT',",
